dataset,type,filename,model,test_accuracy,test_f1_weighted,demographic_parity,equalized_odds,privacy_risk,params,test_gmean,test_roc_auc
bankmarketing,Synthetic,bankmarketing_knn5_per1.csv,Random Forest,0.8902897589028976,0.8444616834372476,0.0219461228600201,0.0397674418604651,99.2259,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 100}",0.1937268120549298,0.5175668612678
adult,Original,adult,Random Forest,0.8461302211302212,0.8308412683036105,0.3277310924369748,0.75,100.0,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 100}",0.6761712634185655,0.7191895834308439
adult,Original,adult.csv,Random Forest,0.8461302211302212,0.8308412683036105,0.3277310924369748,0.75,100.0,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 100}",0.6761712634185655,0.7191895834308439
adult,Synthetic,adult_knn1_per1.csv,Random Forest,0.796990171990172,0.7572235382501602,0.1666666666666666,0.5,89.8691,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 100}",0.4941810371769006,0.6109056887781383
adult,Synthetic,adult_knn1_per2.csv,Random Forest,0.7960687960687961,0.7430390741048719,0.1304347826086956,0.5,81.8194,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 100}",0.4339713920081745,0.5894167376801722
adult,Synthetic,adult_knn1_per3.csv,Random Forest,0.8367628992628993,0.8153807485548582,0.2184873949579832,0.6153846153846154,75.1652,"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__n_estimators': 50}",0.6312343045676194,0.6910496034654848
adult,Synthetic,adult_knn3_per1.csv,Random Forest,0.8389127764127764,0.8201433975002947,0.2521008403361344,0.575,89.658,"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__n_estimators': 50}",0.6479948657178952,0.7007315519290852
adult,Synthetic,adult_knn3_per2.csv,Random Forest,0.7863943488943489,0.7222608698846946,0.0652173913043478,0.3333333333333333,81.5209,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 100}",0.3712379932509388,0.5654248748028352
adult,Synthetic,adult_knn3_per3.csv,Random Forest,0.8387592137592138,0.815521309807404,0.1725175526579739,0.5384615384615384,75.0442,"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__n_estimators': 100}",0.6234692769417903,0.6880141709819539
adult,Synthetic,adult_knn5_per1.csv,Random Forest,0.7919226044226044,0.7416092441133082,0.125,0.5,89.7462,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 100}",0.4401600067996624,0.5890783356007369
adult,Synthetic,adult_knn5_per2.csv,Random Forest,0.8390663390663391,0.8166839072457069,0.1715145436308927,0.75,81.2841,"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__n_estimators': 50}",0.6283641760142102,0.6906092101325408
adult,Synthetic,adult_knn5_per3.csv,Random Forest,0.7926904176904177,0.7307146182330342,0.064516129032258,0.5,74.9077,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 100}",0.3902740259785923,0.574357619500934
bankmarketing,Original,bankmarketing.csv,Random Forest,0.8913957089139571,0.8462155583117023,0.066317022898608,0.1230856494611457,100.0,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 100}",0.2085127690313434,0.5207861622815668
bankmarketing,Synthetic,bankmarketing_knn1_per1.csv,Random Forest,0.8904003539040035,0.8445243769525885,0.0162540847154571,0.0283972911963882,99.1706,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 100}",0.1937389014687801,0.517629112263816
bankmarketing,Synthetic,bankmarketing_knn1_per2.csv,Random Forest,0.8904003539040035,0.8448996829829641,0.0233644859813084,0.048780487804878,98.3799,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 100}",0.1987471111358471,0.5184947092816852
bankmarketing,Synthetic,bankmarketing_knn1_per3.csv,Random Forest,0.8908427339084274,0.8504705640457398,0.0633257804632426,0.0562790697674418,97.7141,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 50}",0.2624907135485423,0.5317276685337857
bankmarketing,Synthetic,bankmarketing_knn3_per1.csv,Random Forest,0.8902897589028976,0.8427377973110896,0.014018691588785,0.0338600451467268,99.165,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 50}",0.1693326559785042,0.5136716746873891
bankmarketing,Synthetic,bankmarketing_knn3_per2.csv,Random Forest,0.8884096438840965,0.8393439958486199,0.0093457943925233,0.03,98.2938,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 100}",0.1296076923603593,0.5074198256479034
bankmarketing,Synthetic,bankmarketing_knn3_per3.csv,Random Forest,0.8899579738995798,0.842359873217044,0.0093457943925233,0.0316027088036117,97.5857,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 50}",0.1663667702769295,0.5130521231904067
bankmarketing,Synthetic,bankmarketing_knn5_per2.csv,Random Forest,0.8901791639017916,0.8440214741876768,0.0366622479807633,0.0767441860465116,98.3314,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 100}",0.1885715995474697,0.516639013253915
bankmarketing,Synthetic,bankmarketing_knn5_per3.csv,Random Forest,0.8904003539040035,0.8431875789668027,0.0173280811297825,0.0378048780487804,97.6433,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 50}",0.1750634545748691,0.5145995227012741
german,Original,german.csv,Random Forest,0.75,0.6965367965367965,0.2222222222222222,1.0,100.0,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 50}",0.4213962922346157,0.5720446473871131
german,Synthetic,german_knn1_per1.csv,Random Forest,0.76,0.6872991028822295,0.0560747663551401,1.0,35.5,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 100}",0.3588060136816051,0.5613901572805682
german,Synthetic,german_knn1_per2.csv,Random Forest,0.755,0.7049385675756668,0.1121495327102803,1.0,31.1302,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 50}",0.4419641598817599,0.5813039066463723
german,Synthetic,german_knn1_per3.csv,Random Forest,0.73,0.6722597402597401,0.1904761904761904,1.0,28.841,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 50}",0.3742064154985913,0.5466768138001015
german,Synthetic,german_knn3_per1.csv,Random Forest,0.755,0.7135384615384615,0.1666666666666666,1.0,30.375,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 50}",0.4770214536847317,0.5929731100963977
german,Synthetic,german_knn3_per2.csv,Random Forest,0.76,0.698726183995645,0.1111111111111111,1.0,27.2307,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 50}",0.4040321882380414,0.5730593607305936
german,Synthetic,german_knn3_per3.csv,Random Forest,0.74,0.6843982683982683,0.1111111111111111,1.0,25.8311,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 100}",0.3983413097919396,0.5593607305936072
german,Synthetic,german_knn5_per1.csv,Random Forest,0.79,0.7750967741935484,0.25,1.0,29.0,"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__n_estimators': 50}",0.6386820524166525,0.6811263318112633
german,Synthetic,german_knn5_per2.csv,Random Forest,0.76,0.7173802022881778,0.1904761904761904,1.0,25.5122,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 50}",0.4787466725301079,0.5963977676306443
german,Synthetic,german_knn5_per3.csv,Random Forest,0.74,0.6892682926829268,0.1904761904761904,1.0,25.1572,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 100}",0.4183754913356906,0.5651953323186201
heart,Original,heart.csv,Random Forest,0.7666666666666667,0.7679644048943269,0.3736263736263736,0.1999999999999999,100.0,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 50}",0.7817359599705715,0.7916666666666666
heart,Synthetic,heart_knn1_per1.csv,Random Forest,0.6666666666666666,0.6565656565656565,0.0952380952380952,0.2333333333333332,0.0,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 100}",0.6727156132395742,0.7152777777777778
heart,Synthetic,heart_knn1_per2.csv,Random Forest,0.75,0.7507641011392053,0.2747252747252747,0.1666666666666666,0.0,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 50}",0.765276517441995,0.7777777777777777
heart,Synthetic,heart_knn1_per3.csv,Random Forest,0.7333333333333333,0.7333333333333333,0.1758241758241758,0.1333333333333333,0.0,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 50}",0.7484551991837489,0.7638888888888888
heart,Synthetic,heart_knn3_per1.csv,Random Forest,0.7,0.6946428571428572,0.1465201465201465,0.1666666666666666,0.0,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 100}",0.7111870619162283,0.7430555555555555
heart,Synthetic,heart_knn3_per2.csv,Random Forest,0.6833333333333333,0.682189497082523,0.0769230769230769,0.2,0.0,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 50}",0.6972166887783963,0.7152777777777778
heart,Synthetic,heart_knn3_per3.csv,Random Forest,0.6833333333333333,0.682189497082523,0.1501831501831502,0.2,0.0,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 50}",0.6972166887783963,0.7152777777777778
heart,Synthetic,heart_knn5_per1.csv,Random Forest,0.7166666666666667,0.718796992481203,0.326007326007326,0.1666666666666666,0.0,"{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__n_estimators': 100}",0.7296625298090943,0.736111111111111
heart,Synthetic,heart_knn5_per2.csv,Random Forest,0.7166666666666667,0.718796992481203,0.0402930402930402,0.4333333333333333,0.0,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 50}",0.7296625298090943,0.736111111111111
heart,Synthetic,heart_knn5_per3.csv,Random Forest,0.7,0.6976640711902113,0.1245421245421245,0.1333333333333333,0.0,"{'randomforestclassifier__max_depth': 4, 'randomforestclassifier__n_estimators': 50}",0.7136240321480627,0.736111111111111
